name,total,white,hispanic,median_household_income
"Census Tract 828, Arapahoe County, Colorado",5352,2284,1578,71094
"Census Tract 829, Arapahoe County, Colorado",5094,2225,1448,85703
"Census Tract 830, Arapahoe County, Colorado",4040,1932,709,109659
"Census Tract 831, Arapahoe County, Colorado",7649,2939,1658,75557
"Census Tract 832.01, Arapahoe County, Colorado",6292,3410,986,115096
"Census Tract 832.02, Arapahoe County, Colorado",3334,1832,597,118250
"Census Tract 833, Arapahoe County, Colorado",4705,2504,889,91675
"Census Tract 834, Arapahoe County, Colorado",7265,3794,1499,79313
"Census Tract 78.01, Adams County, Colorado",3936,598,1681,35565
"Census Tract 78.02, Adams County, Colorado",3893,488,2176,40516
"Census Tract 79, Adams County, Colorado",5490,1262,3006,47542
"Census Tract 80, Adams County, Colorado",6775,1880,3419,53555
"Census Tract 81, Adams County, Colorado",1378,783,180,51087
"Census Tract 82, Adams County, Colorado",6521,1488,3431,74851
"Census Tract 83.08, Adams County, Colorado",6714,1274,4081,42318
"Census Tract 83.09, Adams County, Colorado",4278,619,3163,57719
"Census Tract 83.54, Adams County, Colorado",4022,1052,1272,95163
"Census Tract 83.55, Adams County, Colorado",4820,1443,2479,60853
"Census Tract 84.01, Adams County, Colorado",5537,3848,1238,67096
"Census Tract 84.02, Adams County, Colorado",5325,4089,882,90893
"Census Tract 85.05, Adams County, Colorado",7126,3859,2703,77070
"Census Tract 85.06, Adams County, Colorado",6460,3250,2414,42619
"Census Tract 85.07, Adams County, Colorado",6290,3428,2274,89823
"Census Tract 85.08, Adams County, Colorado",5558,3189,1726,68333
"Census Tract 85.24, Adams County, Colorado",9374,5779,2132,123333
"Census Tract 85.26, Adams County, Colorado",7509,4993,1497,97636
"Census Tract 85.33, Adams County, Colorado",7706,3870,2779,72305
"Census Tract 85.34, Adams County, Colorado",4344,2332,1527,92714
"Census Tract 85.35, Adams County, Colorado",4389,1915,1935,94375
"Census Tract 85.36, Adams County, Colorado",4353,2394,1412,121210
"Census Tract 32.04, Denver County, Colorado",2159,1567,281,62188
"Census Tract 32.05, Denver County, Colorado",3196,2629,276,63523
"Census Tract 33, Denver County, Colorado",3329,2839,201,131250
"Census Tract 34.01, Denver County, Colorado",2998,2649,159,138147
"Census Tract 34.02, Denver County, Colorado",4860,4199,258,187065
"Census Tract 35.01, Denver County, Colorado",3238,438,2299,60119
"Census Tract 35.02, Denver County, Colorado",2727,337,2246,47248
"Census Tract 36.01, Denver County, Colorado",4236,1813,1718,66364
"Census Tract 36.02, Denver County, Colorado",4337,1427,1726,55262
"Census Tract 36.03, Denver County, Colorado",3583,1798,573,67216
"Census Tract 37.01, Denver County, Colorado",3746,2809,374,78994
"Census Tract 37.02, Denver County, Colorado",4759,3660,472,59593
"Census Tract 37.03, Denver County, Colorado",3276,2516,318,57527
"Census Tract 38.01, Denver County, Colorado",3666,3075,252,85500
"Census Tract 38.02, Denver County, Colorado",3970,3242,318,172778
"Census Tract 39.01, Denver County, Colorado",5266,4435,380,113098
"Census Tract 39.02, Denver County, Colorado",4606,3749,398,138750
"Census Tract 85.45, Adams County, Colorado",6731,4672,1225,118659
"Census Tract 85.38, Adams County, Colorado",11712,6562,3284,128555
"Census Tract 85.40, Adams County, Colorado",10376,6188,2458,111307
"Census Tract 85.44, Adams County, Colorado",6242,3998,1136,124526
"Census Tract 85.46, Adams County, Colorado",3517,2065,1022,84107
"Census Tract 85.47, Adams County, Colorado",3468,1961,1112,92228
"Census Tract 85.48, Adams County, Colorado",1713,944,439,99242
"Census Tract 85.49, Adams County, Colorado",4581,2545,1422,101809
"Census Tract 85.50, Adams County, Colorado",8319,4818,2495,90104
"Census Tract 85.51, Adams County, Colorado",1788,1091,441,150884
"Census Tract 85.52, Adams County, Colorado",5185,2697,2024,82844
"Census Tract 85.53, Adams County, Colorado",5596,3637,1453,131611
"Census Tract 85.54, Adams County, Colorado",2507,1656,592,81712
